RecipeText,TargetChemical
"Single-crystal ZrTe5 was grown with the flux method (21). Zr slugs ZrTe5 (99.9% pure, Alfa Aesar) and Te shot (99.9999% pure, Alfa Aesar) were loaded into a quartz ampule in a Zr:Te ratio of 1:100. The ampule was warmed to 900°C in 9 hours, kept at 900°C for 72 hours, and then cooled to 505°C in 48 hours. To promote large crystal growth, the ampule was repetitively cooled to 440°C and warmed to 505°C. Last, the ampule was cooled to 460°C and decanted in a centrifuge at this temperature.",ZrTe5
,YBa2Cu307
,
,SrTi03
"The sublimed Samples were prepared by arc-melting and annealing. The starting materials were lanthanide metal shavings or sublimed or 99.99% pure), Ni powder (99.99%) and coarse dendrites (99.9 starting materials were lanthanide metal shavings or sublimed or 99.99% pure), Ni powder (99.99%) and coarse dendrites (99.9 and B (99.6%) powders. Samples of 0.75 g total C (99.99%) or 99.99% pure), Ni powder (99.99%) and coarse dendrites (99.9 and B (99.6%) powders. Samples of 0.75 g total C (99.99%) weight were pressed into 0.25-inch-diameter pellets, which were and B (99.6%) powders. Samples of 0.75 g total C (99.99%) weight were pressed into 0.25-inch-diameter pellets, which were then arc-melted under argon on a standard water-cooled copper weight were pressed into 0.25-inch-diameter pellets, which were then arc-melted under argon on a standard water-cooled copper hearth three times, with the melted button turned over between then arc-melted under argon on a standard water-cooled copper hearth three times, with the melted button turned over between of the Lu- Ni- B- C chemical system revealed melts. [nvestigation hearth melts. [nvestigation the presencedoes not melt congruently. new superconductor Annealing the arc-melted buttons (wrapped in tantalum foil, and sealed in evacuated quartz tubes) for 12- 36 hours at 1,050- Annealing the arc-melted buttons (wrapped in tantalum foil, and sealed in evacuated quartz tubes) for 12- 36 hours at 1,050- than 2°/., 1, I 00 °C yielded polycrystalline material with less and sealed in evacuated quartz tubes) for 12- 36 hours at 1,050- than 2°/., 1, I 00 °C yielded polycrystalline material with less The new phase formed for the rare-earth impurity phase present. 1, I 00 °C yielded polycrystalline impurity phase present. Ho, elements Lu, Tm, Er,",new superconductor in the Lu-Ni-B-C system
"The the arc polycrystalline melting of URu2Si2 high-purity was sample prepared elements 99.97'/0; (U, by 99.97'/0; polycrystalline of 99.99999%) Si, prepared by 99.97'/0; water- a the arc 99.96%; Ru, melting 99.96%; Si, sample elements together high-purity 99.99999%) prepared (U, on 99.97'/0; water- arc melting 99.96%; cooled copper high-purity of 99.99999%) in an hearth argon Ru, cooled melting of Si, hearth together atmosphere, (U, on atmosphere, a followed 99.97'/0; water- 99.96%; Ru, cooled annealing in an hearth argon copper atmosphere, 900'C at week. X-ray for annealing one followed diffraction in hearth 900'C revealed annealing measurements at argon atmosphere, week. for one a by measurements",URu2Si2
"High-quality single crystals of WTe2 were grown by means of Br2 vapour transport. Tungsten powder (99.9%) was ground together with purified tellurium (99.99%), pressed into a pellet and heated in an evacuated quartz tube at 700 uC for 2 days; this was homogenized and then reheated at 750 uC for a further 2 days. This final pellet was ground into a fine powder and a temperature gradient of 100 between uC 750 and 650 in a three-zone furnace was used for crystal growth, with a Br2 concentration of 3 mg ml-1 in a sealed quartz tube for 1 week. Optimal crystals were obtained under these conditions; crystals grown at higher temperatures showed substantially lower residual resistivity ratios r(300 K)/r(2 K) and degraded magnetoresistance.",WTe2
"Crystal Synthesis. A stoichiometric amount of high-purity elements (mole ratio M:P:chalcogen = 1:1:3, around 1 g in total) 10⁻²⁰ ratio M:P:chalcogen 10⁻²⁰ and iodine (about 10⁻²⁰ mg) as a transport agent were sealed into a (650–600 °C). agent were (650–600 sealed °C). quartz ampule and kept in a two-zone furnace (650–600 (650–600 °C). The length of the quartz ampule is about 16 cm with a 13 mm external × external × diameter. The pressure inside the ampule was pumped down to 1 10⁻⁴ diameter. 10⁻⁴ diameter. 10⁻⁴ Torr. After 1 week of heating, the ampule was cooled down to room temperature with bulk crystals in the top.",weak van der Waals stacking
"High WTe2 purity, elemental W and Te were placed in alumina crucibles in W1Te99 and W2Te98 ratios. The crucibles were sealed W1Te99 W2Te98 in amorphous silica tubes and the ampoules were heated ◦C ◦C amorphous ◦C ampoules ◦C ◦C over 5 h, held at 1000 ◦C for 10 h, and then to 1000 ◦C held ◦C slowly cooled to 460 ◦C over 100 h and ﬁnally decanted using a centrifuge.",WTe2
"‘CoIn2’ Single crystals of CeCoIn5 CeRhIn5 CeIrIn5 were synthesized from an In ﬂux by combining stoichiometric CeCoIn5 amounts of Ce and Co with excess In an alumina crucible and encapsulating the crucible in an evacuated quartz ampoule.growth of CeCoIn5 appears to be optimized in dilute ◦C, dilute ◦C, CeIn3, CeCoIn5 (3 at.% Ce) melts with a two-stage cooling process—an initial rapid cooling from 1150 ◦C, ◦C ◦C, process—an ◦C from ◦C, where the molten material is homogenized, to 750 ◦C and then a slower cool to 450 ◦C, at which point the excess ﬂux is removed with a centrifuge. The resultant crystals are well-separated, The resultant × × 3 mm faceted platelets with characteristic dimensions 3 mm 0.1 mm.",CeCoIn5
,
"SiC crystal growth was performed in a conven- tional PVT setup [6,7] modiﬁed by an additional pipe running through the lower isolation material and crucible wall into the growth cell (M-PVT setup, see Fig. 1). Using the additional pipe we were able to supply an external gas ﬂux to the crystal growth interface. The setup was inductively heated to temperatures above 20001C which were measured by a pyrometer on top of the crucible. The system pressure inside the growth cell was adjusted by a constant argon gas ﬂux in the outer setup chamber (typical for PVT setup) and by an inert or doping gas ﬂux through the additional inner gas pipe (new for M-PVT setup).",SiC
