plan_label,extractor_mean_quality,classifier_mean_quality
"('GPT_4_1', 'GPT_4_1')",0.2553542598130686,0.6
"('GPT_4_1', 'GPT_4_1_MINI')",0.2753444299736919,0.6
"('GPT_4_1', 'GPT_4_1_NANO')",0.25728974368403634,0.6
"('GPT_4_1', 'GPT_4o')",0.27478273868587544,0.6
"('GPT_4_1', 'GPT_4o_MINI')",0.26174998495870133,0.6
"('GPT_4_1', 'GPT_5')",0.2761822678202849,0.6
"('GPT_4_1', 'GPT_5_MINI')",0.25427716414926615,0.6
"('GPT_4_1', 'GPT_5_NANO')",0.2736335326719356,0.7
"('GPT_4_1', 'o4_MINI')",0.2797841199055947,0.6
"('GPT_4_1_MINI', 'GPT_4_1')",0.3542213649340208,0.6
"('GPT_4_1_MINI', 'GPT_4_1_MINI')",0.35477569618545685,0.6
"('GPT_4_1_MINI', 'GPT_4o')",0.3542213649340208,0.5
"('GPT_4_1_MINI', 'GPT_4o_MINI')",0.3542213649340208,0.6
"('GPT_4_1_MINI', 'GPT_5')",0.35477569618545685,0.6
"('GPT_4_1_MINI', 'GPT_5_MINI')",0.3596703890501958,0.6
"('GPT_4_1_MINI', 'GPT_5_NANO')",0.35477569618545685,0.6
"('GPT_4_1_MINI', 'o4_MINI')",0.3547537214663773,0.6
"('GPT_4_1_NANO', 'GPT_4_1')",0.36315884260450043,0.6
"('GPT_4_1_NANO', 'GPT_4_1_MINI')",0.4609040511727079,0.6
"('GPT_4_1_NANO', 'GPT_4o')",0.40991591385186527,0.7
"('GPT_4_1_NANO', 'GPT_4o_MINI')",0.5227344471246911,0.6
"('GPT_4_1_NANO', 'GPT_5')",0.46143640770506444,0.6
"('GPT_4_1_NANO', 'GPT_5_MINI')",0.27081807081807086,0.6
"('GPT_4_1_NANO', 'GPT_5_NANO')",0.35014124613981795,0.6
"('GPT_4_1_NANO', 'o4_MINI')",0.4134456324787609,0.6
"('GPT_4o', 'GPT_4_1')",0.6994941432430066,0.7
"('GPT_4o', 'GPT_4_1_MINI')",0.6221763602251407,0.7
"('GPT_4o', 'GPT_4_1_NANO')",0.6403211566052313,0.7
"('GPT_4o', 'GPT_4o')",0.5975609756097561,0.6
"('GPT_4o', 'GPT_4o_MINI')",0.6202882483370289,0.6
"('GPT_4o', 'GPT_5')",0.621090387374462,0.6
"('GPT_4o', 'GPT_5_MINI')",0.5975609756097561,0.6
"('GPT_4o', 'GPT_5_NANO')",0.6214415726246815,0.6
"('GPT_4o', 'o4_MINI')",0.5975609756097561,0.6
"('GPT_4o_MINI', 'GPT_4_1')",0.5593103448275862,0.6
"('GPT_4o_MINI', 'GPT_4_1_MINI')",0.5593103448275862,0.6
"('GPT_4o_MINI', 'GPT_4_1_NANO')",0.5593103448275862,0.6
"('GPT_4o_MINI', 'GPT_4o')",0.5593103448275862,0.6
"('GPT_4o_MINI', 'GPT_4o_MINI')",0.5593103448275862,0.6
"('GPT_4o_MINI', 'GPT_5')",0.6377141006961308,0.6
"('GPT_4o_MINI', 'GPT_5_MINI')",0.5593103448275862,0.6
"('GPT_4o_MINI', 'GPT_5_NANO')",0.5434108527131782,0.6
"('GPT_4o_MINI', 'o4_MINI')",0.5593103448275862,0.6
"('GPT_5', 'GPT_4_1')",0.5314845924994095,0.6
"('GPT_5', 'GPT_4_1_MINI')",0.6341958124766249,0.8
"('GPT_5', 'GPT_4_1_NANO')",0.5330569285432107,0.7
"('GPT_5', 'GPT_4o')",0.5771968634145933,0.6
"('GPT_5', 'GPT_4o_MINI')",0.5381075377506905,0.6
"('GPT_5', 'GPT_5')",0.4930871868845183,0.7
"('GPT_5', 'GPT_5_MINI')",0.6376347768109529,0.7
"('GPT_5', 'GPT_5_NANO')",0.531574182128254,0.7
"('GPT_5', 'o4_MINI')",0.57725887875971,0.7
"('GPT_5_MINI', 'GPT_4_1')",0.41433606055822453,0.5
"('GPT_5_MINI', 'GPT_4_1_MINI')",0.41103653568854714,0.6
"('GPT_5_MINI', 'GPT_4_1_NANO')",0.433444015838499,0.8
