plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4_1', 'GPT_4_1', 'GPT_4_1')",0.2625653390295918,1.0,0.6
"('GPT_4_1', 'GPT_4_1', 'GPT_4_1_MINI')",0.2547747170738253,1.0,0.6
"('GPT_4_1', 'GPT_4_1', 'GPT_4_1_NANO')",0.2598621188994349,1.0,0.6
"('GPT_4_1', 'GPT_4_1', 'GPT_4o')",0.2578975538544568,1.0,0.6
"('GPT_4_1', 'GPT_4_1', 'GPT_4o_MINI')",0.2578145568775484,1.0,0.6
"('GPT_4_1', 'GPT_4_1', 'GPT_5')",0.24852879404938205,1.0,0.6
"('GPT_4_1', 'GPT_4_1', 'GPT_5_MINI')",0.2557925767579775,1.0,0.6
"('GPT_4_1', 'GPT_4_1', 'GPT_5_NANO')",0.2548443463298017,1.0,0.6
"('GPT_4_1', 'GPT_4_1_MINI', 'GPT_4_1')",0.24735963211692685,1.0,0.6
"('GPT_4_1', 'GPT_4_1_MINI', 'GPT_4_1_NANO')",0.25360500257085355,1.0,0.6
"('GPT_4_1', 'GPT_4_1_MINI', 'GPT_5')",0.2599128283762563,1.0,0.6
"('GPT_4_1', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.25719648284143937,1.0,0.6
"('GPT_4_1', 'GPT_4_1_NANO', 'GPT_4_1')",0.25733800512594873,1.0,0.7
"('GPT_4_1', 'GPT_4_1_NANO', 'GPT_4o_MINI')",0.25535487657303213,0.875,0.7
"('GPT_4_1', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.25909758665311944,1.0,0.7
"('GPT_4_1', 'GPT_4_1_NANO', 'o4_MINI')",0.25634116396071616,0.875,0.7
"('GPT_4_1', 'GPT_4o', 'GPT_4_1')",0.2643888792904825,1.0,0.6
"('GPT_4_1', 'GPT_4o', 'GPT_4_1_NANO')",0.2568452380758632,0.875,0.6
"('GPT_4_1', 'GPT_4o', 'GPT_4o_MINI')",0.24648093402928822,1.0,0.6
"('GPT_4_1', 'GPT_4o', 'GPT_5_MINI')",0.2565543296111098,1.0,0.6
"('GPT_4_1', 'GPT_4o', 'o4_MINI')",0.254740233855966,0.875,0.6
"('GPT_4_1', 'GPT_4o_MINI', 'GPT_4_1')",0.2501927551327094,0.875,0.6
"('GPT_4_1', 'GPT_4o_MINI', 'GPT_4_1_NANO')",0.25617617893828154,0.875,0.7
"('GPT_4_1', 'GPT_4o_MINI', 'GPT_4o_MINI')",0.25997611061986625,0.625,0.6
"('GPT_4_1', 'GPT_5', 'GPT_4_1')",0.2563226024278286,1.0,0.6
"('GPT_4_1', 'GPT_5', 'GPT_4_1_MINI')",0.25709896600480275,0.875,0.6
"('GPT_4_1', 'GPT_5', 'GPT_4o')",0.2606148357418378,1.0,0.6
"('GPT_4_1', 'GPT_5', 'GPT_4o_MINI')",0.2601507423345087,1.0,0.6
"('GPT_4_1', 'GPT_5', 'GPT_5')",0.25169583958101044,1.0,0.6
"('GPT_4_1', 'GPT_5', 'GPT_5_MINI')",0.254294693364853,1.0,0.6
"('GPT_4_1', 'GPT_5', 'o4_MINI')",0.2561415488830171,1.0,0.6
"('GPT_4_1', 'GPT_5_MINI', 'GPT_4_1_MINI')",0.26000919428235864,0.875,0.6
"('GPT_4_1', 'GPT_5_MINI', 'GPT_4_1_NANO')",0.26041634241538303,1.0,0.6
"('GPT_4_1', 'GPT_5_MINI', 'GPT_4o')",0.24880147018794174,0.875,0.6
"('GPT_4_1', 'GPT_5_MINI', 'GPT_4o_MINI')",0.2519064422076278,1.0,0.7
"('GPT_4_1', 'GPT_5_MINI', 'GPT_5')",0.2600519897836461,0.875,0.6
