plan_label,quality,total_latency_secs,total_cost_usd,op_latency_secs,op_cost_usd,correct,n_papers,error
"('GPT_5', 'GPT_5')",1.0,32.65237784385681,0.029585,"[21.38291573524475, 11.26946210861206]","[0.0199325, 0.009652500000000001]",3.0,3,
"('GPT_5', 'GPT_5_MINI')",1.0,30.902010202407837,0.01946225,"[22.366259813308716, 8.535750389099121]","[0.0180425, 0.00141975]",3.0,3,
"('GPT_5', 'o4_MINI')",1.0,36.12883973121643,0.0307053,"[28.666258811950684, 7.462580919265747]","[0.026912500000000006, 0.0037928]",3.0,3,
"('GPT_5', 'GPT_4_1')",1.0,23.67869281768799,0.0274745,"[20.640976190567017, 3.0377166271209717]","[0.021622500000000003, 0.0058519999999999996]",3.0,3,
"('GPT_5', 'GPT_5_NANO')",1.0,24.572295427322388,0.018994800000000003,"[16.523285627365112, 8.049009799957275]","[0.0185325, 0.0004623]",3.0,3,
"('GPT_5', 'GPT_4_1_MINI')",1.0,25.793564081192017,0.0269449,"[22.987074613571167, 2.8064894676208496]","[0.0260325, 0.0009124]",3.0,3,
"('GPT_5', 'GPT_4o')",1.0,31.126585483551025,0.0338325,"[27.701486825942993, 3.4250986576080322]","[0.0264125, 0.00742]",3.0,3,
"('GPT_5', 'GPT_4o_MINI')",1.0,23.62053942680359,0.0204775,"[19.260558366775513, 4.359981060028076]","[0.0200425, 0.000435]",3.0,3,
"('GPT_5', 'GPT_4_1_NANO')",0.6666666666666666,37.9964919090271,0.0209469,"[35.708837032318115, 2.2876548767089844]","[0.0206425, 0.0003044]",2.0,3,
"('GPT_5_MINI', 'GPT_5')",1.0,23.890893936157227,0.0106125,"[15.958587646484375, 7.932306289672852]","[0.0028025, 0.007810000000000001]",3.0,3,
"('GPT_5_MINI', 'GPT_5_MINI')",1.0,25.075744152069092,0.00433325,"[18.750101566314697, 6.3256425857543945]","[0.0032725000000000002, 0.00106075]",3.0,3,
"('GPT_5_MINI', 'o4_MINI')",1.0,23.467884302139282,0.0071834,"[17.15894842147827, 6.308935880661011]","[0.0030485, 0.0041349]",3.0,3,
"('GPT_5_MINI', 'GPT_4_1')",1.0,17.75378704071045,0.0087165,"[14.669079542160034, 3.084707498550415]","[0.0028304999999999997, 0.005886]",3.0,3,
"('GPT_5_MINI', 'GPT_5_NANO')",1.0,26.50585412979126,0.0035557999999999996,"[16.51190447807312, 9.99394965171814]","[0.0030645, 0.0004913000000000001]",3.0,3,
