source,idx,authors,year,title,venue,vol,pages
brunyanszki2014,1,"Alamdary SZ, Digaleh H, and Khodagholi F",2013,"Dual contradictory effect of H-89 on neuronal retraction, death and inflammation in differentiated PC12 cells subjected to oxidative stress.",J Mol Neurosci,51,1030–1037
brunyanszki2014,2,Bürkle A and Virág L,2013,Poly(ADP-ribose): PARadigms and PARadoxes.,Mol Aspects Med,34,1046–1065
brunyanszki2014,3,"Carlucci A, Lignitto L, and Feliciello A",2008,"Control of mitochondria dynamics and oxidative metabolism by cAMP, AKAPs and the proteasome.",Trends Cell Biol,18,604–613
brunyanszki2014,4,"Chen G, Pekary AE, Sugawara M, and Hershman JM",1993,Effect of exogenous hydrogen peroxide on iodide transport and iodine organification in FRTL-5 rat thyroid cells.,Acta Endocrinol (Copenh),129,89–96.
brunyanszki2014,5,Cho EA and Juhnn YS,2012,The cAMP signaling system inhibits the repair of g-ray-induced DNA damage by promoting Epac1-mediated proteasomal degradation of XRCC1 protein in human lung cancer cells.,Biochem Biophys Res Commun,422,256–262
brunyanszki2014,6,Curtin NJ and Szabo C,2013,Therapeutic applications of PARP inhibitors: anticancer therapy and beyond.,Mol Aspects Med,34,1217–1256
brunyanszki2014,7,"De Vos M, Schreiber V, and Dantzer F",2012,The diverse roles and clinical relevance of PARPs in DNA damage repair: current state of the art.,Biochem Pharmacol,84,137–146
brunyanszki2014,8,"Dorn GW, 2nd",2013,Molecular mechanisms that differentiate apoptosis from programmed necrosis.,Toxicol Pathol,41,227–234
brunyanszki2014,9,"Du L, Zhang X, Han YY, Burke NA, Kochanek PM, Watkins SC, Graham SH, Carcillo JA, Szabó C, and Clark RS",2003,Intra-mitochondrial poly(ADP-ribosylation) contributes to NAD1 depletion and cell death induced by oxidative stress.,J Biol Chem,278,18426–18433
brunyanszki2014,10,"Gagné JP, Moreel X, Gagné P, Labelle Y, Droit A, Chevalier-Paré M, Bourassa S, McDonald D, Hendzel MJ, and Prigent C et al.",2009,Proteomic investigation of phosphorylation sites in poly(ADP-ribose) polymerase-1 and poly(ADP-ribose) glycohydrolase.,J Proteome Res,8,1014–1029
brunyanszki2014,11,Gancedo JM,2013,Biological roles of cAMP: variations on a theme in the different kingdoms of life.,Biol Rev Camb Philos Soc,88,645–668
brunyanszki2014,12,"Geraets L, Moonen HJ, Wouters EF, Bast A, and Hageman GJ",2006,Caffeine metabolites are inhibitors of the nuclear enzyme poly(ADP-ribose)polymerase-1 at physiological concentrations.,Biochem Pharmacol,72,902–910
brunyanszki2014,13,"Gerö D, Szoleczky P, Módis K, Pribis JP, Al-Abed Y, Yang H, Chevan S, Billiar TR, Tracey KJ, and Szabo C",2013,Identification of pharmacological modulators of HMGB1-induced inflammatory response by cell-based screening.,PLoS ONE,8,e65994.
