"source","idx","authors","year","title","venue","vol","pages"
"ceccaldi2015","1","The Cancer Genome Atlas Research Network","2011","Integrated genomic analyses of ovarian carcinoma","Nature","474","609–615"
"ceccaldi2015","2","Farmer, H. et al.","2005","Targeting the DNA repair defect in BRCA mutant cells as a therapeutic strategy","Nature","434","917–921"
"ceccaldi2015","3","Bryant, H. E. et al.","2005","Specific killing of BRCA2-deficient tumours with inhibitors of poly(ADP-ribose) polymerase","Nature","434","913–917"
"ceccaldi2015","4","Kennedy, R. D. & D’Andrea, A. D.","2006","DNA repair pathways in clinical practice: lessons from pediatric cancer susceptibility syndromes","J. Clin. Oncol.","24","3799–3808"
"ceccaldi2015","5","Bast, R. C. Jr, Hennessy, B., & Mills, G. B.","2009","The biology of ovarian cancer: new opportunities for translation","Nature Rev. Cancer","9","415–428"
"ceccaldi2015","6","Yousefzadeh, M. J. & Wood, R. D.","2013","DNA polymerase POLQ and cellular defense against DNA damage","DNA Repair","12","1–9"
"ceccaldi2015","7","Shima, N., Munroe, R. J. & Schimenti, J. C.","2004","The mouse genomic instability mutation chaos1 is an allele of Polq that exhibits genetic interaction with Atm","Mol. Cell. Biol.","24","10381–10389"
"ceccaldi2015","8","Yoshimura, M. et al.","2006","Vertebrate POLQ and POLb cooperate in base excision repair of oxidative DNA damage","Mol. Cell","24","115–125"
"ceccaldi2015","9","Muzzini, D. M., Plevani, P., Boulton, S. J., Cassata, G. & Marini, F.","2008","Caenorhabditis elegans POLQ-1 and HEL-308 function in two distinct DNA interstrand cross-link repair pathways","DNA Repair","7","941–950"
"ceccaldi2015","10","McVey, M. & Lee, S. E.","2008","MMEJ repair of double-strand breaks (director’s cut): deleted sequences and alternative endings","Trends in Genet.","24","529–538"
"ceccaldi2015","11","Chan, S. H., Yu, A. M. & McVey, M.","2010","Dual roles for DNA polymerase theta in alternative end-joining repair of double-strand breaks in Drosophila","PLoS Genet.","6","e1001005"
"ceccaldi2015","12","Yu, A. M. & McVey, M.","2010","Synthesis-dependent microhomology-mediated end joining accounts for multiple types of repair junctions","Nucleic Acids Res.","38","5706–5717"
"ceccaldi2015","13","Koole, W. et al.","2014","A polymerase theta-dependent repair pathway suppresses extensive genomic instability at endogenous G4 DNA sites","Nat. Commun.","5","3216"
"ceccaldi2015","14","Nakanishi, K. et al.","2005","Human Fanconi anemia monoubiquitination pathway promotes homologous DNA repair","Proc. Natl Acad. Sci. USA","102","1110–1115"
"ceccaldi2015","15","Moldovan, G. L. et al.","2012","Inhibition of homologous recombination by the PCNA-interacting protein PARI","Mol. Cell","45","75–86"
"ceccaldi2015","16","Ira, G., Malkova, A., Liberi, G., Foiani, M. & Haber, J. E.","2003","Srs2 and Sgs1-Top3 suppress crossovers during double-strand break repair in yeast","Cell","115","401–411"
"ceccaldi2015","17","Ward, J. D. et al.","2010","Overlapping mechanisms promote postsynaptic RAD-51 filament disassembly during meiotic double-strand break repair","Mol. Cell","37","259–272"
"ceccaldi2015","18","Seki, M., Marini, F. & Wood, R. D.","2003","POLQ (Pol theta), a DNA polymerase and DNA-dependent ATPase in human cells","Nucleic Acids Res.","31","6117–6126"
"ceccaldi2015","19","Jackson, D. A. & Pombo, A.","1998","Replicon clusters are stable units of chromosome structure: evidence that nuclear organization contributes to the efficient activation and propagation of S phase in human cells","J. Cell Biol.","140","1285–1295"
"ceccaldi2015","20","The Cancer Genome Atlas Research Network","2013","Integrated genomic characterization of endometrial carcinoma","Nature","497","67–73"
"ceccaldi2015","21","Morrison, C. et al.","2000","The controlling role of ATM in homologous recombinational repair of DNA damage","EMBO J.","19","463–471"
"ceccaldi2015","22","Parmar, K. et al.","2010","Hematopoietic stem cell defects in mice with deficiency of Fancd2 or Usp1","Stem Cells","28","1186–1195"
"ceccaldi2015","23","Hu, Y. et al.","2014","PARP1-driven poly-ADP-ribosylation regulates BRCA1 function in homologous recombination mediated DNA repair","Cancer Discov.","4","1430–1447"
"ceccaldi2015","24","Yang, D. et al.","2011","Association of BRCA1 and BRCA2 mutations with survival, chemotherapy sensitivity, and gene mutator phenotype in patients with ovarian cancer","J. Am. Med. Assoc.","306","1557–1565"
"ceccaldi2015","25","Seki, M. et al.","2004","High-efficiency bypass of DNA damage by human DNA polymerase Q","EMBO J.","23","4484–4494"
"ceccaldi2015","26","Seki, M. & Wood, R. D.","2008","DNA polymerase theta (POLQ) can extend from mismatches and from bases opposite a (6–4) photoproduct","DNA Repair","7","119–127"
"ceccaldi2015","27","Zhang, Y. & Jasin, M.","2011","An essential role for CtIP in chromosomal translocation formation through an alternative end-joining pathway","Nature Struct. Mol. Biol.","18","80–84"
"ceccaldi2015","28","Chiruvella, K. K., Liang, Z. & Wilson, T. E.","2013","Repair of double-strand breaks by end joining","Cold Spring Harb. Perspect. Biol.","5","a012757"
"ceccaldi2015","29","Alexandrov, L. B. et al.","2013","Signatures of mutational processes in human cancer","Nature","500","415–421"
"ceccaldi2015","30","Lemée, F. et al.","2010","DNA polymerase theta up-regulation is associated with poor survival in breast cancer, perturbs DNA replication, and promotes genetic instability","Proc. Natl Acad. Sci. USA","107","13390–13395"
