"source","idx","authors","year","title","venue","vol","pages"
"gupte2017.pdf","1","Adelman, K., Lis, J.T.","2012","Promoter-proximal pausing of RNA polymerase II: emerging roles in metazoans","Nat Rev Genet","13","720-731"
"gupte2017.pdf","2","Adhya, D., Basu, A.","2010","Epigenetic modulation of host: new insights into immune evasion by viruses","J Biosci","35","647-663"
"gupte2017.pdf","3","Aguilar-Quesada, R., Munoz-Gamez, J.A., Martin-Oliva, D., Peralta, A., Valenzuela, M.T., Matinez-Romero, R., Quiles-Perez, R., Menissier-de Murcia, J., de Murcia, G., Ruiz de Almodovar, M.","2007","Interaction between ATM and PARP-1 in response to DNA damage and sensitization of ATM deficient cells through PARP inhibition","BMC Mol Biol","8","29"
"gupte2017.pdf","4","Aguilera-Gomez, A., van Oorschot, M.M., Veenendaal, T., Rabouille, C.","2016","In vivo vizualisation of mono-ADP-ribosylation by dPARP16 upon amino-acid starvation","Elife","5","e21475"
"gupte2017.pdf","5","Ahel, I., Ahel, D., Matsusaka, T., Clark, A.J., Pines, J., Boulton, S.J., West, S.C.","2008","Poly(ADP-ribose)-binding zinc finger motifs in DNA repair/checkpoint proteins","Nature","451","81-85"
"gupte2017.pdf","6","Ahel, D., Horejsi, Z., Wiechens, N., Polo, S.E., Garcia-Wilson, E., Ahel, I., Flynn, H., Skehel, M., West, S.C., Jackson, S.P.","2009","Poly (ADP-ribose)-dependent regulation of DNA repair by the chromatin remodeling enzyme ALC1","Science","325","1240-1243"
"gupte2017.pdf","7","Aksoy, P., Escande, C., White, T.A., Thompson, M., Soares, S., Benech, J.C., Chini, E.N.","2006","Regulation of SIRT 1 mediated NAD dependent deacetylation: a novel role for the multifunctional enzyme CD38","Biochem Biophys Res Commun","349","353-359"
"gupte2017.pdf","8","Altmeyer, M., Neelsen, K.J., Teloni, F., Pozdnyakova, I., Pellegrino, S., Grofte, M., Rask, M.B., Streicher, W., Jungmichel, S., Nielsen, M.L.","2015","Liquid demixing of intrinsically disordered proteins is seeded by poly(ADP-ribose)","Nat Commun","6","8088"
"gupte2017.pdf","9","Amé, J.C., Spenlehauer, C., de Murcia, G.","2004","The PARP superfamily","Bioessays","26","882-893"
"gupte2017.pdf","10","Anderson, R.M., Bitterman, K.J., Wood, J.G., Medvedik, O., Cohen, H., Lin, S.S., Manchester, J.K., Gordon, J.I., Sinclair, D.A.","2002","Manipulation of a nuclear NAD+ salvage pathway delays aging without altering steady-state NAD+ levels","J Biol Chem","277","18881-18890"
"gupte2017.pdf","11","Anderson, R.M., Bitterman, K.J., Wood, J.G., Medvedik, O., Sinclair, D.A.","2003","Nicotinamide and PNC1 govern lifespan extension by calorie restriction in Saccharomyces cerevisiae","Nature","423","181-185"
"gupte2017.pdf","12","Araki, T., Sasaki, Y., Milbrandt, J.","2004","Increased nuclear NAD biosynthesis and SIRT1 activation prevent axonal degeneration","Science","305","1010-1013"
"gupte2017.pdf","13","Audebert, M., Salles, B., Calsou, P.","2004","Involvement of poly(ADP-ribose) polymerase-1 and XRCC1/DNA ligase III in an alternative route for DNA double-strand breaks rejoining","J Biol Chem","279","55117-55126"
"gupte2017.pdf","14","Barbarulo A, Iansante V, Chaidos A, Naresh K, Rahemtulla A, Franzoso G, Karadimitris A, Haskard DO, Papa S, Bubici C.",2013,"Poly(ADP-ribose) polymerase family member 14 (PARP14) is a novel effector of the JNK2-dependent pro-survival signal in multiple myeloma.",Oncogene,32,4231–4242.
"gupte2017.pdf","15","Barkauskaite, E., Jankevicius, G., Ladurner, A.G., Ahel, I., Timinszky, G.","2013","The recognition and removal of cellular poly(ADP-ribose) signals","FEBS J","280","3491-3507"
"gupte2017.pdf","16","Bartolomei, G., Leutert, M., Manzo, M., Baubec, T., Hottiger, M.O.","2016","Analysis of chromatin ADP-ribosylation at the genome-wide level and at specific loci by ADPr-ChAP","Mol Cell","61","474-485"
"gupte2017.pdf","17","Beck, C., Boehler, C., Guirouilh Barbat, J., Bonnet, M.E., Illuzzi, G., Ronde, P., Gauthier, L.R., Magroun, N., Rajendran, A., Lopez, B.S., et al.","2014","PARP3 affects the relative contribution of homologous recombination and nonhomologous end-joining pathways","Nucleic Acids Res","42","5616-5632"
"gupte2017.pdf","18","Beck, C., Robert, I., Reina-San-Martin, B., Schreiber, V., Dantzer, F.","2014","Poly(ADP-ribose) polymerases in double-strand break repair: focus on PARP1, PARP2 and PARP3","Exp Cell Res","329","18-25"
"gupte2017.pdf","19","Bekker-Jensen, S., Lukas, C., Kitagawa, R., Melander, F., Kastan, M.B., Bartek, J., Lukas, J.","2006","Spatial organization of the mammalian genome surveillance machinery in response to DNA strand breaks","J Cell Biol","173","195-206"
"gupte2017.pdf","20","Berger, F., Lau, C., Dahlmann, M., Ziegler, M.","2005","Subcellular compartmentation and differential catalytic properties of the three human nicotinamide mononucleotide adenylyltransferase isoforms","J Biol Chem","280","36334-36341"
"gupte2017.pdf","21","Boamah, E.K., Kotova, E., Garabedian, M., Jarnik, M., Tulin, A.V.","2012","Poly(ADP-Ribose) polymerase 1 (PARP-1) regulates ribosomal biogenesis in Drosophila nucleoli","PLoS Genet","8","e1002442"
"gupte2017.pdf","22","Boehler, C., Gauthier, L.R., Mortusewicz, O., Biard, D.S., Saliou, J.M., Bresson, A., Sanglier-Cianferani, S., Smith, S., Schreiber, V., Bousin, F., et al.","2011","Poly(ADP-ribose) polymerase 3 (PARP3), a newcomer in cellular response to DNA damage and mitotic progression","Proc Natl Acad Sci USA","108","2783-2788"
"gupte2017.pdf","23","Brown, J.S., Kaye, S.B., Yap, T.A.","2016","PARP inhibitors: the race is on","Br J Cancer","114","713-715"
"gupte2017.pdf","24","Bryant, H.E., Schultz, N., Thomas, H.D., Parker, K.M., Flower, D., Lopez, E., Kyle, S., Meuth, M., Curtin, N.J., Helleday, T.","2005","Specific killing of BRCA2-deficient tumours with inhibitors of poly(ADP-ribose) polymerase","Nature","434","913-917"
"gupte2017.pdf","25","Byers, L.A., Wang, J., Nilsson, M.B., Fujimoto, J., Saintigny, P., Yordy, J., Giri, U., Peyton, M., Fan, Y.H., Diao, L., et al.","2012","Proteomic profiling identifies dysregulated pathways in small cell lung cancer and novel therapeutic targets including PARP1","Cancer Discov","2","798-811"
"gupte2017.pdf","26","Cambronne, X.A., Stewart, M.L., Kim, D., Jones-Brunette, A.M., Morgan, R.K., Farrens, D.L., Cohen, M.S., Goodman, R.H.","2016","Biosensor reveals multiple sources for mitochondrial NAD+","Science","352","1474-1477"
"gupte2017.pdf","27","Cardnell, R.J., Feng, Y., Diao, L., Fan, Y.H., Masrorpour, F., Wang, J., Shen, Y., Mills, G.B., Minna, J.D., Heymach, J.V., et al.","2013","Proteomic markers of DNA repair and PI3K pathway activation predict response to the PARP inhibitor BMN 673 in small cell lung cancer","Clin Cancer Res","19","6322-6328"
"gupte2017.pdf","28","Cardnell, R.J., Feng, Y., Mukherjee, S., Diao, L., Tong, P., Stewart, C.A., Masrorpour, F., Fan, Y., Nilsson, M., Shen, Y., et al.","2016","Activation of the PI3K/mTOR pathway following PARP inhibition in small cell lung cancer","PLoS One","11","e0152584"
"gupte2017.pdf","29","Carter-O’Connell, I., Jin, H., Morgan, R.K., David, L.L., Cohen, M.S.","2014","Engineering the substrate specificity of ADP-ribosyltransferases for identifying direct protein targets","J Am Chem Soc","136","5201-5204"
"gupte2017.pdf","30","Carter-O’Connell, I., Jin, H., Morgan, R.K., Zaja, R., David, L.L., Ahel, I., Cohen, M.S.","2016","Identifying family-member-specific targets of mono-ARTDs by using a chemical genetics approach","Cell Rep","14","621-631"
