"source","idx","authors","year","title","venue","vol","pages"
"li2021","1","Xiong ZG, Zhu XM, Chu XP, et al.","2004","Neuroprotection in ischemia: blocking calcium-permeable acid-sensing ion channels","Cell","118","687-698"
"li2021","2","Nakayama H, Chen X, Baines CP, et al.","2007","Ca2+- and mitochondrial-dependent cardiomyocyte necrosis as a primary mediator of heart failure","J Clin Invest","117","2431-2444"
"li2021","3","Ankarcrona M, Dypbukt JM, Bonfoco E, et al.","1995","Glutamate-induced neuronal death: a succession of necrosis or apoptosis depending on mitochondrial function","Neuron","15","961-973"
"li2021","4","Vaseva AV, Marchenko ND, Ji K, Tsirka SE, Holzmann S, Moll UM","2012","p53 opens the mitochondrial permeability transition pore to trigger necrosis","Cell","149","1536-1548"
"li2021","5","Kitsis RN, Molkentin JD","2010","Apoptotic cell death “Nixed” by an ER-mitochondrial necrotic pathway","Proc Natl Acad Sci U S A","107","9031-9032"
"li2021","6","Kristian T, Siesjo BK","1998","Calcium in ischemic cell death","Stroke","29","705-718"
"li2021","7","Monassier JP","2008","Reperfusion injury in acute myocardial infarction. From bench to cath lab. Part I: Basic considerations","Arch Cardiovasc Dis","101","491-500"
"li2021","8","Kalogeris T, Baines CP, Krenz M, Korthuis RJ","2012","Cell biology of ischemia/reperfusion injury","Int Rev Cell Mol Biol","298","229-317"
"li2021","9","Lo EH, Dalkara T, Moskowitz MA","2003","Mechanisms, challenges and opportunities in stroke","Nat Rev Neurosci","4","399-415"
"li2021","10","Lipton SA","2006","Paradigm shift in neuroprotection by NMDA receptor blockade: memantine and beyond","Nat Rev Drug Discov","5","160-170"
"li2021","11","Kung G, Konstantinidis K, Kitsis RN","2011","Programmed necrosis, not apoptosis, in the heart","Circ Res","108","1017-1036"
"li2021","12","Muller GJ, Stadelmann C, Bastholm L, Elling F, Lassmann H, Johansen FF","2004","Ischemia leads to apoptosis–and necrosis-like neuron death in the ischemic rat hippocampus","Brain Pathol","14","415-424"
"li2021","13","Prabhakaran S, Ruff I, Bernstein RA","2015","Acute stroke intervention: a systematic review","JAMA","313","1451-1462"
"li2021","14","Radak D, Katsiki N, Resanovic I, et al.","2017","Apoptosis and acute brain ischemia in ischemic stroke","Curr Vasc Pharmacol","15","115-122"
