"source","idx","authors","year","title","venue","vol","pages"
"zatreanu2021","1","Mao, Z., Bozzella, M., Seluanov, A., Gorbunova, V.","2008","DNA repair by nonhomologous end joining and homologous recombination during cell cycle in human cells.","Cell Cycle","7","2902–2906"
"zatreanu2021","2","Chang, H. H. Y., Pannunzio, N. R., Adachi, N., Lieber, M. R.","2017","Non-homologous DNA end joining and alternative pathways to double-strand break repair.","Nat. Rev. Mol. Cell Biol.","18","495–506"
"zatreanu2021","3","Chiruvella, K. K., Liang, Z., Wilson, T. E.","2013","Repair of double-strand breaks by end joining.","Cold Spring Harb. Perspect. Biol.","5","a012757"
"zatreanu2021","4","Seol, J. H., Shim, E. Y., Lee, S. E.","2018","Microhomology-mediated end joining: Good, bad and ugly.","Mutat. Res.","809","81–87"
"zatreanu2021","5","Hustedt, N., Durocher, D.","2016","The control of DNA repair by the cell cycle.","Nat. Cell Biol.","19","1–9"
"zatreanu2021","6","Verma, P., Greenberg, R. A.","2016","Noncanonical views of homology-directed DNA repair.","Genes Dev.","30","1138–1154"
"zatreanu2021","7","Higgins, G. S., Boulton, S. J.","2018","Beyond PARP-POLtheta as an anticancer target.","Science","359","1217–1218"
"zatreanu2021","8","Seki, M., Marini, F., Wood, R. D.","2003","POLQ (Pol theta), a DNA polymerase and DNA-dependent ATPase in human cells.","Nucleic Acids Res.","31","6117–6126"
"zatreanu2021","9","Newman, J. A., Cooper, C. D. O., Aitkenhead, H., Gileadi, O.","2015","Structure of the helicase domain of DNA polymerase theta reveals a possible role in the microhomology-mediated end-joining pathway.","Structure","23","2319–2330"
"zatreanu2021","10","Malaby, A. W., Martin, S. K., Wood, R. D., Doublie, S.","2017","Expression and structural analyses of human DNA polymerase theta (POLQ).","Methods Enzymol.","592","103–121"
"zatreanu2021","11","Yousefzadeh, M. J., Wood, R. D.","2013","DNA polymerase POLQ and cellular defense against DNA damage.","DNA Repair (Amst.)","12","1–9"
"zatreanu2021","12","Kent, T., Chandramouly, G., McDevitt, S. M., Ozdemir, A. Y., Pomerantz, R. T.","2015","Mechanism of microhomology-mediated end-joining promoted by human DNA polymerase theta.","Nat. Struct. Mol. Biol.","22","230–237"
"zatreanu2021","13","Wyatt, D. W., et al.","2016","Essential roles for polymerase theta-mediated end joining in the repair of chromosome breaks.","Mol. Cell","63","662–673"
"zatreanu2021","14","van Schendel, R., van Heteren, J., Welten, R., Tijsterman, M.","2016","Genomic scars generated by polymerase theta reveal the versatile mechanism of alternative end-joining.","PLoS Genet.","12","e1006368"
"zatreanu2021","15","Koole, W., et al.","2014","A Polymerase Theta-dependent repair pathway suppresses extensive genomic instability at endogenous G4 DNA sites.","Nat. Commun.","5","3216"
"zatreanu2021","16","Mateos-Gomez, P. A., et al.","2015","Mammalian polymerase theta promotes alternative NHEJ and suppresses recombination.","Nature","518","254–257"
"zatreanu2021","17","Ceccaldi, R., et al.","2015","Homologous-recombination-deficient tumours are dependent on Poltheta-mediated repair.","Nature","518","258–262"
"zatreanu2021","18","Shima, N., Munroe, R. J., Schimenti, J. C.","2004","The mouse genomic instability mutation chaos1 is an allele of Polq that exhibits genetic interaction with Atm.","Mol. Cell Biol.","24","10381–10389"
"zatreanu2021","19","Goff, J. P., et al.","2009","Lack of DNA polymerase theta (POLQ) radiosensitizes bone marrow stromal cells in vitro and increases reticulocyte micronuclei after total-body irradiation.","Radiat. Res.","172","165–174"
"zatreanu2021","20","Higgins, G. S., et al.","2010","A small interfering RNA screen of genes involved in DNA repair identifies tumor-specific radiosensitization by POLQ knockdown.","Cancer Res.","70","2984–2993"
